,Year_Birth,Education,Income,Recency,NumWebVisitsMonth,Complain,Response,RelStatus,amountSpent,numOfPurchases,numOfMinorsHome,prvAcceptedCampaigns,dateCust,dateCustYear,custAge
49,1954,PhD,72550.0,39,8,0,0,Coupled,1319,28,2,0,2012-11-08,2012,58
50,1957,Graduation,65486.0,29,2,0,0,Single,507,17,1,0,2014-05-12,2014,57
51,1964,Master,79143.0,2,3,0,0,Coupled,1693,29,0,0,2012-08-11,2012,48
52,1977,Graduation,35790.0,54,7,0,0,Single,72,7,1,0,2013-01-02,2013,36
53,1977,Graduation,82582.0,54,1,0,1,Single,1617,21,0,2,2014-06-07,2014,37
54,1978,Graduation,66373.0,57,3,0,0,Coupled,606,23,2,0,2013-06-12,2013,35
55,1955,Master,82384.0,55,1,0,1,Coupled,1957,27,0,1,2012-11-19,2012,57
56,1966,Graduation,70287.0,30,3,0,1,Single,1093,21,0,0,2013-04-02,2013,47
57,1988,Graduation,27938.0,31,3,0,0,Single,29,6,1,0,2014-04-28,2014,26
58,1982,Graduation,34353.36011841486,57,6,0,0,Single,46,7,1,0,2013-06-17,2013,31
59,1968,PhD,55954.0,63,7,0,0,Coupled,518,19,1,0,2014-03-03,2014,46
60,1982,Master,75777.0,12,1,0,1,Single,1438,21,0,2,2013-07-04,2013,31
61,1975,Graduation,66653.0,18,3,0,0,Coupled,612,22,2,0,2012-09-07,2012,37
62,1952,Graduation,61823.0,26,7,0,0,Single,884,24,1,0,2013-02-18,2013,61
63,1951,PhD,67680.0,8,5,0,0,Single,606,19,1,0,2013-06-11,2013,62
64,1948,Graduation,70666.0,29,4,0,0,Coupled,1076,16,0,0,2013-12-06,2013,65
65,1971,Graduation,25721.0,75,7,0,1,Coupled,34,5,1,0,2013-05-21,2013,42
66,1967,Graduation,32474.0,0,7,0,0,Coupled,11,4,2,0,2014-05-11,2014,47
67,1979,2n Cycle,88194.0,19,5,0,1,Single,1274,32,1,2,2014-03-19,2014,35
68,1958,Graduation,69096.0,4,4,0,0,Coupled,653,18,1,0,2013-09-27,2013,55
69,1970,Graduation,74854.0,90,5,0,0,Coupled,1562,19,3,0,2013-04-08,2013,43
70,1954,Master,66991.0,1,3,0,0,Coupled,1253,21,0,0,2012-09-11,2012,58
71,1973,2n Cycle,30686.866983770014,25,8,0,0,Coupled,109,9,1,0,2012-09-14,2012,39
72,1959,Graduation,65031.0,29,7,0,0,Coupled,863,30,1,0,2013-03-17,2013,54
73,1975,PhD,60631.0,88,7,0,0,Coupled,661,24,2,1,2013-04-05,2013,38
74,1952,Graduation,28332.0,58,2,0,0,Coupled,65,8,0,0,2014-04-30,2014,62
75,1977,Graduation,40246.0,68,6,0,0,Single,13,4,1,0,2012-12-19,2012,35
76,1972,Master,75251.0,34,5,0,1,Coupled,1890,19,0,0,2012-08-27,2012,40
77,1976,Graduation,75825.0,40,4,0,1,Single,2209,22,0,1,2012-10-12,2012,36
78,1976,2n Cycle,26326.0,12,3,1,0,Coupled,18,4,0,0,2013-09-04,2013,37
79,1965,Graduation,56046.0,9,8,0,1,Coupled,692,21,0,1,2013-01-02,2013,48
80,1985,Graduation,29760.0,87,8,0,0,Single,165,12,1,0,2012-08-29,2012,27
81,1969,Graduation,26304.0,5,7,0,0,Coupled,16,4,1,0,2013-06-23,2013,44
82,1973,2n Cycle,23559.0,87,7,0,0,Coupled,79,9,1,0,2013-07-03,2013,40
83,1963,Master,38620.0,56,3,0,0,Coupled,318,11,0,0,2013-05-11,2013,50
84,1987,Graduation,81361.0,18,1,0,0,Single,778,27,0,0,2014-02-25,2014,27
85,1960,Graduation,29440.0,95,7,0,0,Coupled,56,7,2,0,2013-08-11,2013,53
86,1970,Master,36138.0,48,7,0,0,Coupled,151,13,2,1,2013-07-16,2013,43
87,1957,Graduation,50388.0,3,7,0,1,Single,372,17,1,2,2014-05-28,2014,57
88,1973,Graduation,79593.0,70,2,0,0,Coupled,1366,19,0,1,2014-05-12,2014,41
89,1967,Graduation,54178.0,79,2,0,0,Coupled,194,10,1,0,2014-01-21,2014,47
90,1957,PhD,47588.720088095666,4,9,0,0,Coupled,603,29,3,0,2012-11-19,2012,55
91,1957,Graduation,35449.69621165811,45,7,0,0,Single,18,4,2,0,2014-05-27,2014,57
92,1973,Master,67872.18511313404,87,1,0,0,Coupled,985,15,0,0,2013-11-23,2013,40
93,1972,Master,42394.0,69,7,0,0,Single,32,5,1,0,2014-03-23,2014,42
94,1970,PhD,23626.0,84,5,0,0,Coupled,43,10,1,0,2014-05-24,2014,44
95,1983,Graduation,30096.0,30,6,0,0,Coupled,45,6,1,0,2014-05-22,2014,31
96,1960,Graduation,47916.0,72,6,0,0,Single,606,22,1,1,2012-11-22,2012,52
97,1972,Graduation,51813.0,37,7,0,0,Single,63,7,2,0,2013-04-11,2013,41
98,1951,2n Cycle,78497.0,44,2,0,0,Coupled,978,25,0,1,2013-12-01,2013,62
99,1983,PhD,50150.0,32,5,0,0,Coupled,410,16,0,0,2013-06-20,2013,30
100,1960,2n Cycle,47823.0,0,8,0,0,Single,72,7,1,0,2013-07-23,2013,53
101,1959,PhD,34554.0,43,6,0,0,Single,55,7,1,0,2014-03-30,2014,55
102,1979,Graduation,85693.0,59,5,0,0,Coupled,1169,27,1,0,2013-04-20,2013,34
103,1945,PhD,65846.0,68,4,0,0,Coupled,1120,16,0,0,2013-05-17,2013,68
104,1959,Graduation,87195.0,35,1,0,1,Coupled,1097,20,0,0,2014-05-08,2014,55
105,1979,Basic,24594.0,94,5,0,0,Coupled,29,5,1,0,2013-12-10,2013,34
106,1964,Graduation,49096.0,15,7,0,0,Coupled,187,13,2,0,2013-09-24,2013,49
107,1969,Graduation,52413.0,56,6,0,0,Coupled,910,26,2,0,2013-02-02,2013,44
108,1978,Graduation,38557.0,17,7,0,0,Single,145,9,1,0,2012-12-19,2012,34
109,1960,Master,89058.0,18,2,0,0,Coupled,850,14,0,0,2012-12-07,2012,52
110,1979,Graduation,77298.0,46,3,0,0,Coupled,969,24,1,0,2013-11-02,2013,34
111,1991,PhD,68126.0,40,9,0,1,Single,1820,17,0,1,2012-11-10,2012,21
112,1963,Master,57288.0,27,6,0,0,Coupled,608,20,1,1,2014-06-25,2014,51
113,1991,Graduation,86037.0,95,3,0,1,Single,730,25,0,2,2013-01-02,2013,22
114,1980,PhD,43974.0,19,7,0,0,Coupled,551,21,1,0,2012-12-12,2012,32
115,1962,Graduation,50785.0,27,6,0,0,Single,114,8,2,0,2013-09-10,2013,51
116,1970,Graduation,90765.0,25,1,0,0,Coupled,1724,15,0,2,2014-01-24,2014,44
117,1978,2n Cycle,36550.0,74,9,0,0,Coupled,577,20,1,0,2013-02-19,2013,35
118,1967,2n Cycle,30753.0,85,5,0,0,Coupled,81,7,2,0,2013-07-11,2013,46
119,1969,Graduation,21918.0,37,6,0,0,Coupled,33,7,1,0,2013-11-14,2013,44
120,1953,Master,56129.0,65,4,0,0,Coupled,660,22,1,0,2013-06-20,2013,60
121,1967,Master,32557.0,13,5,0,1,Single,80,9,1,0,2014-02-24,2014,47
122,1985,Master,19510.0,63,7,0,0,Coupled,30,6,2,0,2013-09-04,2013,28
123,1976,Graduation,30992.0,83,7,0,0,Single,43,5,1,0,2013-04-22,2013,37
124,1983,Graduation,101970.0,69,2,0,1,Single,1135,27,0,3,2013-03-12,2013,30
125,1965,2n Cycle,71488.0,87,1,0,0,Coupled,559,16,0,0,2013-02-18,2013,48
126,1984,Graduation,79607.0,37,1,0,1,Single,1923,16,0,0,2013-04-21,2013,29
127,1953,Master,54348.0,51,6,0,0,Coupled,90,8,2,0,2014-06-08,2014,61
128,1961,PhD,50269.684595066006,23,6,0,0,Coupled,404,17,1,0,2013-07-11,2013,52
129,1956,PhD,77376.0,72,4,0,0,Coupled,661,23,2,0,2014-05-10,2014,58
130,1952,Graduation,62998.0,10,5,0,0,Coupled,463,19,1,0,2013-09-30,2013,61
131,1958,Master,61331.0,42,8,0,0,Single,632,23,2,0,2013-03-10,2013,55
132,1969,Graduation,73448.0,10,4,0,0,Coupled,725,19,0,0,2014-02-10,2014,45
133,1963,Graduation,62329.9720879385,96,4,0,0,Coupled,725,19,1,0,2013-08-11,2013,50
134,1964,PhD,41551.0,51,8,0,0,Coupled,279,16,2,0,2013-08-14,2013,49
135,1967,PhD,62981.0,21,3,0,0,Coupled,1482,23,0,1,2013-03-17,2013,46
136,1976,Basic,9548.0,31,8,0,0,Single,29,6,1,0,2012-08-08,2012,36
137,1959,PhD,33762.0,61,8,0,0,Coupled,106,9,3,0,2013-07-07,2013,54
138,1973,PhD,35860.0,37,5,0,1,Single,49,6,2,1,2014-05-19,2014,41
139,1965,PhD,36921.0,74,7,0,0,Single,38,7,2,0,2013-07-28,2013,48
140,1992,Master,92859.0,46,2,0,0,Single,2077,22,0,0,2012-10-19,2012,20
141,1976,Master,65104.0,4,7,0,1,Coupled,1053,17,1,0,2013-11-14,2013,37
142,1962,Graduation,86111.0,73,2,0,0,Coupled,1385,23,0,0,2013-04-19,2013,51
143,1974,PhD,68352.0,47,6,0,0,Single,871,25,1,0,2013-08-28,2013,39
144,1988,Graduation,41883.0,13,7,0,0,Coupled,312,12,1,0,2013-03-19,2013,25
145,1976,Graduation,59809.0,36,8,0,0,Coupled,877,15,2,0,2012-10-18,2012,36
146,1975,Graduation,23957.0,47,6,0,1,Coupled,68,6,1,0,2012-10-28,2012,37
147,1981,Graduation,38547.0,49,8,1,0,Coupled,22,4,1,0,2013-08-28,2013,32
148,1973,2n Cycle,35688.0,94,8,0,0,Coupled,211,16,3,0,2012-08-22,2012,39
149,1966,Master,49605.0,65,3,0,0,Coupled,127,8,0,0,2014-06-21,2014,48
150,1953,Master,59354.0,59,3,0,0,Coupled,459,16,2,0,2014-04-24,2014,61
151,1969,Graduation,65747.0,96,6,0,0,Coupled,460,19,1,1,2014-03-07,2014,45
152,1972,2n Cycle,46344.0,28,7,0,0,Coupled,429,17,1,0,2012-12-14,2012,40
153,1988,Graduation,34176.0,12,6,0,0,Single,89,11,1,0,2014-05-12,2014,26
154,1952,PhD,61010.0,57,5,0,0,Coupled,1021,26,1,0,2012-10-09,2012,60
155,1949,Graduation,69372.0,10,4,0,1,Coupled,1381,21,0,2,2013-02-19,2013,64
156,1958,Graduation,49967.0,4,7,0,0,Single,306,15,1,0,2013-07-08,2013,55
157,1978,Graduation,60199.0,49,4,0,0,Single,18,4,3,0,2013-09-12,2013,35
158,1977,Graduation,55375.0,3,2,0,0,Coupled,162,9,1,0,2013-10-17,2013,36
159,1955,Graduation,80317.0,64,1,0,0,Single,1231,18,0,0,2013-08-20,2013,58
160,1958,Master,30523.0,0,7,0,0,Single,13,4,3,0,2013-07-01,2013,55
161,1945,PhD,70356.0,20,6,0,0,Coupled,1706,27,0,0,2012-11-05,2012,67
162,1984,Graduation,23228.0,91,8,0,0,Coupled,121,11,1,0,2014-01-05,2014,30
163,1975,PhD,74165.0,9,2,0,0,Single,1293,20,0,0,2013-05-01,2013,38
164,1973,PhD,157243.0,98,0,0,0,Coupled,1608,37,1,0,2014-03-01,2014,41
165,1966,Graduation,43482.0,83,6,0,0,Coupled,88,9,3,0,2013-11-13,2013,47
166,1953,Graduation,62551.0,27,3,0,0,Single,421,18,0,1,2013-11-18,2013,60
167,1959,Graduation,52332.0,63,4,0,0,Single,259,12,0,1,2013-08-28,2013,54
168,1988,Graduation,66951.0,46,1,0,0,Single,1117,15,0,0,2013-11-02,2013,25
169,1957,Graduation,26091.0,84,5,0,0,Coupled,89,9,2,0,2014-02-25,2014,57
170,1965,Graduation,33456.0,58,7,0,0,Coupled,36,6,2,0,2014-04-21,2014,49
171,1982,Graduation,28718.0,78,8,0,0,Coupled,57,7,1,0,2013-07-13,2013,31
172,1970,Graduation,50447.0,4,6,0,0,Coupled,148,8,2,0,2014-04-21,2014,44
173,1959,PhD,53537.0,17,5,0,0,Coupled,93,8,2,0,2014-01-30,2014,55
174,1967,Graduation,52074.0,77,4,0,0,Single,119,7,1,1,2014-04-04,2014,47
175,1975,PhD,80427.0,56,5,0,0,Coupled,1835,28,1,0,2012-09-12,2012,37
176,1948,PhD,83837.0,79,4,0,1,Coupled,1318,25,0,2,2012-12-16,2012,64
177,1970,PhD,38853.0,90,7,0,0,Coupled,45,7,2,0,2014-05-23,2014,44
178,1959,Graduation,38285.0,96,2,0,0,Coupled,10,4,3,0,2014-06-24,2014,55
179,1951,2n Cycle,78497.0,44,2,0,0,Coupled,978,25,0,1,2013-12-01,2013,62
180,1976,PhD,51650.0,81,5,0,0,Coupled,191,10,1,0,2014-05-11,2014,38
181,1988,2n Cycle,16248.0,77,6,0,0,Coupled,57,9,1,0,2014-05-10,2014,26
182,1946,Master,66835.0,21,2,0,0,Coupled,1033,24,0,0,2013-09-28,2013,67
183,1984,Master,30477.0,16,6,0,0,Coupled,66,6,1,0,2014-01-22,2014,30
184,1961,Basic,28249.0,80,6,0,0,Coupled,43,6,0,0,2014-06-15,2014,53
185,1983,Graduation,25271.0,45,9,0,0,Coupled,50,5,1,0,2012-12-05,2012,29
186,1970,PhD,32303.0,63,5,0,0,Single,39,7,1,0,2014-03-08,2014,44
187,1966,Graduation,61286.0,34,5,0,0,Coupled,608,18,1,0,2013-08-02,2013,47
188,1976,Graduation,74068.0,14,2,0,0,Coupled,1581,24,0,0,2013-03-19,2013,37
189,1964,PhD,45759.0,13,7,0,0,Coupled,68,7,2,0,2013-02-23,2013,49
190,1978,Basic,24882.0,52,6,0,0,Coupled,80,5,1,1,2012-09-09,2012,34
191,1989,PhD,66973.0,98,3,0,0,Coupled,1282,28,0,0,2013-05-17,2013,24
192,1900,2n Cycle,36640.0,99,5,1,0,Single,65,6,1,0,2013-09-26,2013,113
193,1988,Graduation,38872.0,93,8,0,0,Coupled,91,8,1,0,2013-05-30,2013,25
194,1973,Graduation,51148.0,38,6,0,0,Coupled,315,16,2,0,2013-02-18,2013,40
195,1977,Graduation,31353.0,24,8,0,0,Coupled,31,6,2,0,2013-12-29,2013,36
196,1980,Master,69661.0,80,3,0,0,Coupled,834,23,0,0,2014-05-13,2014,34
197,1954,Graduation,80067.0,82,2,0,0,Coupled,1600,17,0,1,2013-09-19,2013,59
198,1954,Graduation,86718.0,20,2,0,0,Coupled,1270,17,0,0,2013-01-17,2013,59
199,1973,PhD,46854.0,81,8,0,1,Single,263,15,2,1,2014-03-31,2014,41
200,1952,Graduation,69142.0,50,5,0,0,Single,535,19,1,1,2014-06-29,2014,62
201,1968,Graduation,75922.0,60,1,0,0,Single,1295,18,0,0,2013-12-09,2013,45
202,1978,Graduation,63693.0,63,6,0,0,Single,1150,29,1,0,2013-10-14,2013,35
203,1977,PhD,102160.0,54,4,0,1,Coupled,1240,26,0,3,2012-11-02,2012,35
204,1965,PhD,40637.0,72,7,0,0,Single,38,6,2,0,2013-07-17,2013,48
205,1984,Master,18890.0,5,6,0,1,Single,35,4,0,1,2012-11-10,2012,28
206,1988,Graduation,29604.0,88,9,0,0,Coupled,53,5,1,1,2013-12-08,2013,25
207,1963,Master,48721.0,50,6,0,0,Single,293,17,2,0,2013-05-13,2013,50
208,1966,Graduation,44794.0,99,6,0,0,Coupled,65,6,1,0,2014-06-08,2014,48
209,1954,Graduation,64497.0,17,8,0,1,Single,1804,29,1,1,2012-09-10,2012,58
210,1956,Graduation,46097.0,11,4,0,0,Coupled,241,15,1,0,2013-03-31,2013,57
211,1954,Graduation,77972.0,18,1,0,0,Coupled,1101,20,0,0,2014-03-18,2014,60
212,1968,PhD,44377.0,70,8,0,0,Coupled,264,19,2,0,2012-10-05,2012,44
213,1974,Master,46014.0,21,7,0,0,Coupled,541,26,2,0,2013-01-21,2013,39
214,1985,Graduation,70951.0,66,1,0,0,Coupled,1198,17,0,0,2013-05-04,2013,28
215,1977,Graduation,41443.0,79,8,0,0,Coupled,482,20,1,0,2014-04-01,2014,37
216,1978,2n Cycle,52195.0,2,8,0,0,Single,17,4,3,0,2014-05-12,2014,36
217,1948,Master,83790.0,81,3,0,0,Coupled,1615,25,0,2,2013-11-15,2013,65
218,1954,Master,44551.0,24,7,0,0,Single,285,12,1,0,2013-08-31,2013,59
219,1980,Graduation,69508.0,48,6,0,0,Coupled,1135,28,1,0,2012-11-14,2012,32
220,1988,2n Cycle,45204.0,93,3,0,0,Coupled,114,7,1,0,2014-04-11,2014,26
221,1969,Graduation,72460.0,56,1,0,0,Coupled,1047,16,0,0,2013-11-14,2013,44
222,1970,PhD,77622.0,3,3,0,0,Coupled,714,22,2,0,2014-04-14,2014,44
223,1980,PhD,30732.0,44,8,0,0,Coupled,185,13,1,0,2013-01-05,2013,33
224,1962,Graduation,63887.0,38,6,0,0,Single,1245,32,1,0,2012-09-08,2012,50
225,1978,Graduation,42011.0,46,8,0,0,Coupled,189,12,1,0,2013-03-26,2013,35
226,1976,Graduation,51369.0,84,8,0,0,Coupled,576,16,1,0,2012-10-25,2012,36
227,1952,Graduation,51537.0,27,8,0,0,Single,1103,18,1,0,2012-12-09,2012,60
228,1972,PhD,79930.0,72,2,0,0,Coupled,1753,17,0,0,2012-08-08,2012,40
229,1986,PhD,34320.0,66,8,0,0,Coupled,17,4,1,0,2014-02-16,2014,28
230,1966,Graduation,37070.0,30,7,0,1,Single,433,23,2,0,2013-03-20,2013,47
231,1962,2n Cycle,81975.0,2,7,0,0,Single,1588,14,1,1,2013-01-05,2013,51
232,1971,Graduation,38590.0,65,8,0,0,Coupled,22,4,1,0,2013-05-15,2013,42
233,1951,Graduation,15033.0,37,3,0,0,Single,19,5,0,0,2014-04-16,2014,63
234,1965,PhD,62745.0,89,5,0,0,Coupled,1117,29,1,0,2013-03-23,2013,48
235,1975,2n Cycle,22212.0,49,6,0,0,Coupled,69,8,1,0,2013-12-09,2013,38
236,1982,Master,23661.0,46,7,0,0,Coupled,23,5,1,0,2013-12-04,2013,31
237,1958,PhD,79761.0,32,3,0,0,Single,605,19,1,0,2013-10-04,2013,55
238,1973,Graduation,7500.0,54,7,0,0,Single,57,11,1,0,2013-12-26,2013,40
239,1893,2n Cycle,60182.0,23,4,0,0,Single,22,4,1,0,2014-05-17,2014,121
240,1968,Graduation,73455.0,98,3,0,0,Single,2088,22,0,1,2013-10-28,2013,45
241,1958,Graduation,64961.0,97,3,0,0,Coupled,1009,16,1,0,2012-12-23,2012,54
242,1971,Graduation,22804.0,75,9,0,0,Single,26,5,1,0,2013-07-31,2013,42
243,1990,Graduation,73687.0,8,2,0,1,Coupled,1627,22,0,1,2013-11-28,2013,23
244,1958,Graduation,61074.0,37,7,0,0,Coupled,1102,31,1,0,2012-08-17,2012,54
245,1964,PhD,31686.0,31,6,0,0,Coupled,17,6,2,0,2014-06-05,2014,50
246,1972,Graduation,80134.0,40,6,0,1,Coupled,1690,16,1,3,2013-05-20,2013,41
247,1953,Graduation,75027.0,74,5,0,0,Coupled,1390,21,1,0,2013-01-09,2013,60
248,1988,PhD,67546.0,90,3,0,0,Coupled,2126,20,0,0,2012-08-31,2012,24
249,1969,Master,65176.0,57,6,0,0,Coupled,1531,25,1,0,2012-10-29,2012,43
250,1975,Master,31160.0,59,8,0,0,Single,64,7,1,0,2013-09-16,2013,38
251,1985,Graduation,29938.0,52,6,0,0,Single,26,6,1,0,2013-10-27,2013,28
252,1974,Graduation,102692.0,5,2,0,1,Single,1112,29,0,4,2013-04-05,2013,39
253,1958,2n Cycle,26490.0,92,6,0,0,Coupled,210,11,0,0,2012-09-22,2012,54
254,1967,Graduation,75702.0,77,8,0,0,Coupled,1148,26,2,0,2012-08-29,2012,45
255,1974,PhD,30899.0,35,6,0,0,Single,33,6,1,0,2012-10-13,2012,38
256,1961,PhD,63342.0,48,6,0,0,Coupled,1101,19,1,1,2012-10-16,2012,51
257,1964,Graduation,45989.0,97,3,0,0,Single,322,16,1,0,2012-10-22,2012,48
258,1964,Graduation,18701.0,95,5,0,0,Single,44,10,2,0,2013-06-04,2013,49
259,1957,PhD,40737.0,24,8,0,0,Single,17,4,3,0,2013-12-08,2013,56
260,1979,Graduation,15287.0,60,7,0,1,Single,31,6,1,1,2012-10-10,2012,33
261,1968,PhD,69674.0,46,5,0,0,Single,845,25,2,0,2013-05-22,2013,45
262,1970,Master,44159.0,85,5,0,0,Coupled,275,15,1,0,2014-06-17,2014,44
263,1978,PhD,37717.0,31,9,0,0,Coupled,25,4,1,0,2012-11-23,2012,34
264,1952,Master,43776.0,9,8,0,1,Coupled,275,17,2,0,2013-02-03,2013,61
265,1966,Master,38179.0,30,7,0,0,Coupled,90,11,2,0,2013-03-14,2013,47
266,1963,Graduation,80124.0,47,1,0,0,Coupled,1495,19,0,1,2014-06-26,2014,51
267,1970,PhD,38097.0,70,7,0,1,Coupled,184,11,2,1,2012-10-15,2012,42
268,1970,Graduation,72940.0,13,1,0,0,Coupled,981,13,0,0,2013-06-19,2013,43
269,1970,Graduation,22070.0,11,6,0,0,Coupled,67,8,1,0,2013-10-04,2013,43
270,1953,Graduation,69267.0,31,7,0,1,Single,1635,14,0,0,2012-09-22,2012,59
271,1983,Master,31788.0,15,5,1,0,Single,60,10,1,0,2014-03-20,2014,31
272,1975,PhD,61905.0,2,5,0,0,Coupled,231,12,1,0,2014-02-04,2014,39
273,1960,Graduation,29315.0,55,6,0,0,Coupled,48,10,2,0,2014-04-06,2014,54
274,1963,Graduation,33378.0,38,7,0,0,Single,99,9,2,0,2013-02-06,2013,50
275,1963,PhD,66313.0,86,4,0,0,Coupled,770,23,1,0,2013-09-16,2013,50
276,1956,Graduation,60714.0,56,5,0,1,Single,957,23,0,0,2013-01-17,2013,57
277,1981,Master,77882.0,29,1,0,0,Coupled,818,12,0,0,2014-04-30,2014,33
278,1986,PhD,69867.0,30,1,0,1,Single,925,17,0,1,2013-04-02,2013,27
279,1968,Master,63841.0,64,6,0,0,Single,908,22,1,0,2013-04-21,2013,45
280,1981,Basic,24480.0,46,7,0,0,Coupled,102,10,1,0,2013-02-11,2013,32
281,1976,Graduation,51369.0,84,8,0,0,Coupled,576,16,1,0,2012-10-25,2012,36
282,1946,Graduation,37760.0,20,7,0,0,Coupled,317,13,0,0,2012-08-31,2012,66
283,1974,PhD,65640.0,74,2,0,0,Coupled,461,15,1,0,2014-03-01,2014,40
284,1975,Master,44319.0,18,5,0,0,Coupled,37,7,2,0,2014-04-17,2014,39
285,1974,Graduation,30631.0,75,7,0,0,Coupled,70,7,1,0,2013-07-12,2013,39
286,1952,Graduation,75278.0,17,3,0,0,Coupled,930,23,0,0,2013-01-29,2013,61
287,1956,Master,50898.0,88,5,0,0,Coupled,859,33,2,0,2013-01-08,2013,57
288,1966,Graduation,79946.0,19,3,0,0,Single,1478,22,0,0,2014-05-12,2014,48
289,1949,Master,35416.0,62,8,0,0,Single,390,16,0,0,2013-06-13,2013,64
290,1984,2n Cycle,32414.0,11,7,0,0,Coupled,52,5,0,1,2013-07-04,2013,29
291,1969,Graduation,38361.0,74,7,0,0,Coupled,137,10,1,0,2013-12-27,2013,44
